"metric","individual_id","site_id","latitude","longitude","elevation_m","state","species_id","genus","species","common_name","kingdom","phenophase_id","phenophase_description","period","period_start","period_end","last_yes_date","last_yes_doy","next_no_date","days_next_no","n_series","ended_after"
"offset",937,949,39.816456,-83.858879,314,"OH",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-10,130,NA,NA,1,0
"offset",938,949,39.816456,-83.858879,314,"OH",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-10,130,NA,NA,1,0
"offset",1054,973,42.285683,-84.128387,309,"MI",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-08,128,2009-05-20,12,1,0
"offset",1054,973,42.285683,-84.128387,309,"MI",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",4,"2012-01-01","2012-12-31",2012-05-05,126,2012-05-10,5,1,0
"offset",1057,973,42.285683,-84.128387,309,"MI",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-25,145,2009-05-28,3,1,0
"offset",1057,973,42.285683,-84.128387,309,"MI",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",4,"2012-01-01","2012-12-31",2012-05-05,126,NA,NA,2,0
"offset",1290,1074,39.367615,-85.242989,282,"IN",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",4,"2012-01-01","2012-12-31",2012-03-30,90,NA,NA,1,0
"offset",1577,1167,40.096401,-75.970802,249,"PA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-04-27,117,2009-07-19,83,1,0
"offset",1577,1167,40.096401,-75.970802,249,"PA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",2,"2010-01-01","2010-12-31",2010-05-23,143,2010-06-16,24,2,0
"offset",1938,637,44.34095,-72.46122,266,"VT",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-24,144,2010-03-21,301,1,0
"offset",1938,637,44.34095,-72.46122,266,"VT",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",2,"2010-01-01","2010-12-31",2010-05-23,143,2010-05-30,7,1,0
"offset",2199,1386,36.003922,-79.878731,250,"NC",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-04-20,110,NA,NA,1,0
"offset",2217,644,37.32526,-79.055511,307,"VA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-04-04,94,NA,NA,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-07,127,2009-05-10,3,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",2,"2010-01-01","2010-12-31",2010-04-21,111,2010-04-23,2,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",3,"2011-01-01","2011-12-31",2011-05-11,131,2011-05-15,4,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",4,"2012-01-01","2012-12-31",2012-04-19,110,2012-04-26,7,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",5,"2013-01-01","2013-12-31",2013-05-18,138,2013-05-26,8,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",6,"2014-01-01","2014-12-31",2014-05-18,138,2014-05-26,8,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",7,"2015-01-01","2015-12-31",2015-05-02,122,2015-05-10,8,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",8,"2016-01-01","2016-12-31",2016-05-01,122,2016-05-07,6,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",9,"2017-01-01","2017-12-31",2017-05-07,127,2017-05-28,21,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",15,"2023-01-01","2023-12-31",2023-05-05,125,2023-05-15,10,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",16,"2024-01-01","2024-12-31",2024-04-29,120,2024-05-05,6,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",18,"2026-01-01","2026-12-31",2026-04-22,112,2026-05-15,23,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",501,"Open flowers",6,"2014-01-01","2014-12-31",2014-05-26,146,2014-06-10,15,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",501,"Open flowers",12,"2020-01-01","2020-12-31",2020-05-29,150,2020-06-01,3,1,0
"offset",2317,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",501,"Open flowers",15,"2023-01-01","2023-12-31",2023-05-05,125,2023-05-15,10,1,0
"offset",2318,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-22,142,2009-05-23,1,1,0
"offset",2318,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",2,"2010-01-01","2010-12-31",2010-04-30,120,2010-05-04,4,1,0
"offset",2318,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",3,"2011-01-01","2011-12-31",2011-05-04,124,2011-05-09,5,1,0
"offset",2318,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",4,"2012-01-01","2012-12-31",2012-04-29,120,2012-05-04,5,1,0
"offset",2318,1419,42.011166,-88.503304,280,"IL",101,"Quercus","macrocarpa","bur oak","Plantae",371,"Breaking leaf buds",5,"2013-01-01","2013-12-31",2013-05-18,138,2013-05-26,8,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-10-13,286,NA,NA,2,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",2,"2010-01-01","2010-12-31",2010-04-17,107,2011-02-07,296,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",3,"2011-01-01","2011-12-31",2011-04-08,98,NA,NA,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",6,"2014-01-01","2014-12-31",2014-05-09,129,NA,NA,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",7,"2015-01-01","2015-12-31",2015-05-06,126,NA,NA,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",8,"2016-01-01","2016-12-31",2016-03-18,78,NA,NA,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",9,"2017-01-01","2017-12-31",2017-05-07,127,NA,NA,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",10,"2018-01-01","2018-12-31",2018-03-14,73,NA,NA,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",11,"2019-01-01","2019-12-31",2019-05-01,121,NA,NA,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",501,"Open flowers",6,"2014-01-01","2014-12-31",2014-05-09,129,2015-02-18,285,1,0
"offset",2804,1559,39.289673,-123.373718,542,"CA",100,"Quercus","alba","white oak","Plantae",501,"Open flowers",7,"2015-01-01","2015-12-31",2015-05-06,126,2016-03-18,317,1,0
"offset",2825,1562,42.296295,-83.765404,293,"MI",100,"Quercus","alba","white oak","Plantae",371,"Breaking leaf buds",1,"2009-01-01","2009-12-31",2009-05-06,126,NA,NA,1,0
